      clusters_total filtered_by_depth filtered_by_maxH filtered_by_maxN reads_consens   nsites nhetero heterozygosity
AL1          1035345            865847             8358             7454        153277 14610090   38875        0.00266
AL2          1415191           1176893            12471            10242        215004 20470013   58620        0.00286
AL5          1655322           1367188            17890            11690        258189 24611518   77308        0.00314
AL7          1327980           1107181            11523             9949        198547 18902191   53683        0.00284
AR1           812607            712245             5756             4757         89592  8538611   23079        0.00270
AR10          772490            687771             4866             4229         75222  7172631   19459        0.00271
AR11          715012            630193             4917             4144         75489  7197515   19529        0.00271
AR12          628989            560845             4062             3048         60857  5810193   15619        0.00269
AR23          810524            731248             4789             3981         70140  6684116   18306        0.00274
AR24          683643            602311             4644             3919         72616  6928040   18661        0.00269
AR25          664104            594043             4155             3385         62362  5948559   16171        0.00272
AR4          1206623           1018385             9750             9169        168997 16086216   46111        0.00287
AR5          1523659           1285514            13525            11562        212632 20230236   62777        0.00310
ARO28        1318058           1121835            10231             9387        176054 16760413   48547        0.00290
ASC1          587840            541958             2990             2592         40192  3824931    7331        0.00192
ASC2          840685            724015             6039             5099        105333 10033385   20107        0.00200
BA10          695439            649325             2950             2469         40236  3832982   10153        0.00265
BA12          665545            605006             3755             3047         53211  5073793   13306        0.00262
BA14          644463            580617             3808             3147         56455  5385265   13876        0.00258
BA16          693699            642547             3304             2782         44485  4237595   11200        0.00264
BA17          687631            628656             3643             3256         51756  4931113   12785        0.00259
BA18          405412            372502             1894             1935         28956  2756118    6706        0.00243
BA2           968597            843039             6717             6302        112154 10677974   28321        0.00265
BA3           688935            621455             4195             3702         58922  5609712   15204        0.00271
BA5          1169777            971593             9913             9033        178984 17045599   46846        0.00275
CE1           555439            505376             3123             2617         44060  4199976   11418        0.00272
CE10         1138936            976915             8272             7785        145564 13856566   38472        0.00278
CE11         1422836           1201329            12111            10767        198252 18868673   56361        0.00299
CE12         1175375            989230             9570             9152        167124 15905897   45262        0.00285
CE16          878008            811793             4362             3632         57584  5483807   15429        0.00281
CE17          895008            779644             6176             5708        103128  9818456   26477        0.00270
CE19          729605            646157             4974             4151         74054  7059124   18964        0.00269
CE20          618290            567777             3280             2721         44185  4210867   11429        0.00271
CE21          724979            647910             4574             4152         67964  6475769   18052        0.00279
CE3           724372            658292             4002             3245         58399  5568167   14863        0.00267
FN01          876682            767909             6199             5938         96293  9163163   25863        0.00282
FN02          563898            513565             3315             2869         43747  4161857   11591        0.00279
FN03         1030831            871688             8097             7758        142966 13614012   38621        0.00284
FN15          724045            645063             4645             3700         70383  6717811   18569        0.00276
FN7           694878            631569             3840             3075         56034  5344391   15002        0.00281
FN8           268582            222845             2075             1720         41870  4003610   10656        0.00266
OIC1          404852            380707             1824             1770         20413  1937456    4877        0.00252
OIC3         1934221           1639454            21178            12468        260653 24862609   86845        0.00349
OIC4          912436            821280             5436             4527         80804  7700276   21598        0.00280
RN10         1269488           1083856             9729             9273        166106 15800934   45434        0.00288
RN11          587474            525351             3520             2983         55346  5280578   14131        0.00268
RN12          910496            800030             6117             5684         98327  9362098   25452        0.00272
RN13          528676            500607             2181             2018         23546  2236170    6063        0.00271
RN14          600857            545139             3538             2750         49093  4680945   12727        0.00272
RN2           743377            669421             4355             3791         65167  6207599   16856        0.00272
RN2A          713679            669508             3048             2773         37874  3603306    9761        0.00271
RN3           877767            763115             6174             5387        102678  9784656   26977        0.00276
RN4           625833            572169             3395             2914         47019  4478299   11982        0.00268
SPS10        1222047           1044143             8105             7656        161561 15357851   19614        0.00128
SPS2         1074560            916493             7684             7238        142140 13529294   18582        0.00137
SPS8         1272857           1115808             7471             7083        141690 13476078   17277        0.00128
STH2          350520            330561             1483             1481         16923  1606940    3181        0.00198
TM1           822309            711045             5846             5059         99994  9526081   21770        0.00229
TM10         1028895            886318             7224             6606        128187 12215357   28150        0.00230
TM11         1439424           1198548            13015            10706        216717 20641129   54695        0.00265
TM14         1142089            956902             8985             8589        167210 15914263   38522        0.00242
TM15         1289585           1085999            10536             9446        183094 17421949   42834        0.00246
TM2          1072579           1007633             4604             4240         55033  5228298   12428        0.00238
TM21         1127249            968734             8095             7821        142042 13518518   32109        0.00238
TM23         1208226           1027576             9183             8749        162241 15440268   37788        0.00245
TM3          1335334           1106165            11766            10145        206891 19696385   49892        0.00253
TMV4         1205564           1028402             9115             8490        159182 15146467   35829        0.00237
TMV5         1342415           1124077            11322             9895        196696 18717974   46905        0.00251
TMV6         1259996           1058998            10157             9360        181139 17242232   42667        0.00247
