Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
88	Round_4_Replicate_1	-1827.85	645.49	23209.35	9282.41	6.7874,0.6615,4.5465,14.5744,0.1984,0.6661,0.1486,4.4067
89	Round_4_Replicate_4	-2444.92	2058.85	23810.98	15666.06	2.2722,0.0111,1.1175,5.1987,0.2361,2.8886,0.0528,4.384
90	Round_4_Replicate_2	-2041.04	909.89	23488.1	8486.65	0.1296,5.5756,2.1236,11.2934,0.927,1.1537,0.366,3.4038
91	Round_4_Replicate_1	-1215.91	1828.02	23363.26	1391.83	18.3759,0.089,2.0337,5.9214,0.6557,0.2476,0.0252,0.7745
92	Round_4_Replicate_3	-2037.33	2419.12	23396.47	7999.27	1.2119,1.6059,0.8685,3.7607,0.9082,2.8425,0.1837,0.75
93	Round_2_Replicate_4	-1274.73	1494.23	23466.77	1581.2	1.1163,5.5845,12.0138,11.794,1.2194,0.2578,0.7389,0.2202
94	Round_4_Replicate_2	-2371.61	7050.89	23372.66	12282.61	5.1378,6.9931,0.2992,1.4652,0.7512,9.184,0.5223,20.7055
95	Round_4_Replicate_4	-2553.53	2928.3	23609.6	11005.05	0.8235,6.2795,0.6863,2.8058,1.5381,3.8458,0.0706,0.7126
96	Round_4_Replicate_4	-937.23	1739.58	23652.24	946.1	1.5289,4.174,1.1101,6.2989,2.5055,0.3013,0.2965,0.6449
97	Round_4_Replicate_2	-798.93	2146.02	23374.69	452.87	0.685,1.4032,0.5701,7.4517,3.8888,0.2319,0.5149,0.3643
98	Round_4_Replicate_1	-1221.59	2389.53	23519.24	1462.58	3.3248,0.4869,0.8272,4.8693,4.3341,0.1477,1.002,0.535
99	Round_4_Replicate_3	-1161.16	2403.39	23489.56	2242.99	3.578,3.4268,0.8109,6.7561,3.0937,0.7195,0.0791,0.3168
100	Round_4_Replicate_1	-2146.23	1829.68	23554.82	2795.58	0.6399,1.3449,0.4426,6.083,5.8492,0.462,3.3981,0.3196
